id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
0,TOI-4559 b,31.6354,2.59 Earths,13.115,2024
1,TOI-1739 b,70.9819,3.52 Earths,10.692,2024
2,Kepler-1660 AB b,1188.54,4.992 Jupiters,13.595,2023
3,ITG 15 b,136.37,21 Jupiters,Unknown,2024
4,TIC 139270665 c,189.875,4.89 Jupiters,10.385,2024
5,TIC 139270665 b,189.875,0.463 Jupiters,10.385,2024
6,HIP 77900 b,150.862,21 Jupiters,6.15,2024
7,2MASS J11011926-7732383 b,Unknown,28 Jupiters,Unknown,2024
8,G 196-3 b,21.7912,26 Jupiters,11.672,2024
9,2MASS J03590986+2009361 b,117.435,18 Jupiters,Unknown,2024
10,2MASS J21252752-8138278 b,34.1154,12 Jupiters,11.804,2024
11,2MASS J11550485-7919108 b,100.862,20 Jupiters,16.957,2024
12,TOI-4336 A b,22.5455,5.14 Earths,13.6,2024
13,TOI-871 b,68.0473,3.41 Earths,10.569,2024
14,KMT-2023-BLG-1642L b,6980,1.08 Jupiters,Unknown,2024
